variable,label,labelLong,section,subject,variableType,units,databaseStart,variableStart
hwmdbmi,Body mass index,Body Mass Index - (D),Health status,Weight,Continuous,kg/m2,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle6::HWMDBMI, [hwmdbmi]"
img_03,Immigration status,"Landed immigrant	",Socioeconomic,Immigration,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle1::sdcfimm, cycle2::sdcfimm, cycle3::imm_03, cycle4::imm_03, cycle6::IMG_03, [img_03]"
income_impflag,Household income imputation flag,Household income imputation flag (2 categories - yes/no),Socioeconomic,Income,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle1::incfimp4, cycle2::incfimp4, cycle5::incfhhld, cycle6::THIFIMP4, [thifimp4]"
income_quintile,Household income quntile,Adjusted household income quintile,Socioeconomic,Income,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",DerivedVar::[adj_hh_income]
lab_alkp,Alkaline phosphatase,Alkaline phosphatase (U/L),Health behaviour,Alcohol,Continuous,U/L,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle6::LAB_ALKP, [lab_alkp]"
lab_alt,Alanine aminotransferase,Alanine aminotransferase (ALT) (U/L),Health behaviour,Alcohol,Continuous,U/L,"cycle1, cycle2, cycle4, cycle6","cycle6::LAB_ALT, [lab_alt]"
lab_bcre,Blood creatine,"Blood creatinine (umol/L)	",Health status,Chronic disease,Continuous,umol/L,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle6::LAB_BCRE, [lab_bcre]"
lab_bpb,Blood lead,"Blood lead (umol/L)	",Health behaviour,Lead,Continuous,umol/L,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle6::LAB_BPB, [lab_bpb]"
lab_ca,Calcium,Calcium (total) (mmol/L),Health behaviour,Diet,Continuous,mmol/L,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle6::LAB_CA, [lab_ca]"
lab_chol,Total cholesterol,Total cholesterol (mmol/L),Health status,Chronic disease,Continuous,mmol/L,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle6::LAB_CHOL, [lab_chol]"
lab_ggt,Gamma-glutamyltransferase,Gamma-glutamyltransferase (GGT) (U/L),Health behaviour,Alcohol,Continuous,U/L,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle6::LAB_GGT, [lab_ggt]"
lab_hba1,Hemoglobin A1c level,Glycated hemoglobin A1c (HbA1c),Health status,Chronic disease,Continuous,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle6::LAB_HBA1, [lab_hba1]"
lab_hdl,HDL cholesterol,High-density lipoprotein cholesterol (HDL) (mmol/L),Health status,Chronic disease,Continuous,mmol/L,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle6::LAB_HDL, [lab_hdl]"
lab_una,Urinary sodium excretion,Sodium (mmol/L) - MEC urine,Health behaviour,Diet,Continuous,mmol/L,"cycle5, cycle6","cycle6::LAB_UNA, [lab_una]"
lab_vids,Vitamin D,Vitamin D [25(OH)] (nmol/L),Health behaviour,Chronic disease,Continuous,nmol/L,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle1::lab_vitd, cycle2::lab_vitd, cycle6::LAB_VIDS, [lab_vids]"
lafcoc16,Occupation classification,National Occupational Classification - Statistics (NOC-S) 2016,Socioeconomic,Occupation,Continuous,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle1::lbf_soc, cycle2::lbf_soc, cycle3::lafcso01, cycle4::lafcoc11, cycle6::LAFCOC16, [lafcoc16]"
lafdwsl,Working status,Working status last week (6 groups) - (D),Socioeconomic,Occupation,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle1::lbfdwsl, cycle2::lbfdwsl, cycle6::LAFDWSL, [lafdwsl]"
lmh_016,Working hours,Number of hours worked per week,Socioeconomic,Occupation,Continuous,hours/week,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle1::lbfdhpw, cycle2::lbfdhpw, cycle3::lfh_16, cycle4::lfh_16, cycle6::LMH_016, [lmh_016]"
lowest_income_quintile,Lowest household income ,Lowest household income quintile (yes/no),Socioeconomic,Income,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",DerivedVar::[income_quintile]
married,Marital status,Marital status (3 groups),Socioeconomic,Marital status,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle6::DHH_MS, [dhh_ms]"
mdcd04y,Milk consumption in year,"Drinks or uses milk or flavoured milk - times per year - (D)	",Health behaviour,Diet,Continuous,times/year,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle1::mdcd11y, cycle2::mdcd11y, cycle6::MDCD04Y, [mdcd04y]"
meucatc,Prescription medication - ATC,Anatomical Therapeutic Chemical (ATC) classification,Health status,Medication,Categorical,N/A,"cycle3_meds, cycle4_meds, cycle5_meds, cycle6_meds","cycle4_meds::MEUCATC, cycle6_meds::MEUCATC, [meucatc]"
mhr_101b,First prescription medication - time last taken,First prescription medication - time last taken,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::MHR_101B, [mhr_101b]"
mhr_102b,Second prescription medication - time last taken,Second prescription medication - time last taken,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::MHR_102B, [mhr_102b]"
mhr_103b,Third prescription medication - time last taken,Third prescription medication - time last taken,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::MHR_103B, [mhr_103b]"
mhr_104b,Fourth prescription medication - time last taken,Fourth prescription medication - time last taken,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::MHR_104B, [mhr_104b]"
mhr_105b,Fifth prescription medication - time last taken,Fifth prescription medication - time last taken,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::MHR_105B, [mhr_105b]"
