variable,,role,,label,,,,,labelLong,,,,,,,section,,subject,,variableType,,units,,databaseStart,,,,,variableStart,,,,,,,,description
NPI_25B,,Intermediate,,Medication - time last taken (clinic),,,,,Medication - time last taken (clinic interview),,,,,,,Health status,,Medication,,Categorical,,N/A,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"cycle1::[MHR_101B, MHR_102B, MHR_103B, MHR_104B, MHR_105B, MHR_106B, MHR_107B, MHR_108B, MHR_109B, MHR_110B, MHR_111B, MHR_112B, MHR_113B, MHR_114B, MHR_115B, MHR_201B, MHR_202B, MHR_203B, MHR_204B, MHR_205B, MHR_206B, MHR_207B, MHR_208B, MHR_209B, MHR_210B, MHR_211B, MHR_212B, MHR_213B, MHR_214B, MHR_215B, MHR_131B, MHR_132B, MHR_133B, MHR_134B, MHR_135B, MHR_231B, MHR_232B, MHR_233B, MHR_234B, MHR_235B], cycle2::[MHR_101B, MHR_102B, MHR_103B, MHR_104B, MHR_105B, MHR_106B, MHR_107B, MHR_108B, MHR_109B, MHR_110B, MHR_111B, MHR_112B, MHR_113B, MHR_114B, MHR_115B, MHR_201B, MHR_202B, MHR_203B, MHR_204B, MHR_205B, MHR_206B, MHR_207B, MHR_208B, MHR_209B, MHR_210B, MHR_211B, MHR_212B, MHR_213B, MHR_214B, MHR_215B, MHR_131B, MHR_132B, MHR_133B, MHR_134B, MHR_135B, MHR_231B, MHR_232B, MHR_233B, MHR_234B, MHR_235B], [NPI_25A]",,,,,,,,
NSAID_drug,,,,NSAID,,,,,Taking NSAID,,,,,,,Health status,,Medication,,Categorical,,N/A,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"DerivedVar::[MEUCATC, NPI_25B]",,,,,,,,
PAADTOT,,Predictor,,Minutes of exercise per week (self-reported) ,,,,,Total minutes of physical activity from all domains per week - (D),,,,,,,Health behaviour,,Exercise,,Continuous,,minutes/week,,"cycle3, cycle4, cycle5, cycle6",,,,,"cycle3::IPADTTPA, [PAADTOT]",,,,,,,,
pack_years_der,,Predictor,,Pack-years,,,,,Smoking pack-years,,,,,,,Health behaviour,,Smoking,,Continuous,,years,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"DerivedVar::[SMKDSTY, CLC_AGE, SMKDSTP, SMK_52, SMK_31, SMK_41, SMK_53, SMK_23, SMK_21, SMK_11]",,,,,,,,
PGDCGT,,Predictor,,Ethnicity,,,,,Cultural or racial group - (D),,,,,,,Sociodemographics,,Ethnicity,,Categorical,,N/A,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"cycle1::SDCDCGT, cycle2::SDCDCGT, [PGDCGT]",,,,,,,,
poordiet,,Predictor,,Diet quality,,,,,Diet quality - eats fruits/veg 5+ times per day,,,,,,,Health behaviour,,Diet,,Categorical,,N/A,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[TotalFV],,,,,,,,
PRS_11,,Intermediate,,Pregnancy status,,,,,Pregnant,,,,,,,Health status,,Pregnacy,,Categorical,,N/A,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"cycle1::PHC_11, cycle2::PHC_11, cycle3::PHC_11, cycle4::PHC_11, [PRS_11]",,,,,,,,
SBP_adj,,Outcome,,Systolic blood pressure (adjusted),,,,,Adjusted systolic blood pressure measurement,,,,,,,Health status,,Blood pressure,,Continuous,,mmHg,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,DerivedVar::[BPMDPBPS],,,,,,,,
SLP_11,,Predictor,,Hours of sleep per day,,,,,Hours spent sleeping in 24 hour period,,,,,,,Health behaviour,,Sleep,,Continuous,,hours/day,,"cycle1, cycle2, cycle3, cycle4",,,,,[SLP_11],,,,,,,,
SMK_11,,Intermediate,,Smoked 100 cigarettes in lifetime,,,,,Smoked 100 or more cigarettes - lifetime,,,,,,,Health behaviour,,Smoking,,Categorical,,N/A,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[SMK_11],,,,,,,,
SMK_21,,Intermediate,,Age smoked first cigarette,,,,,Age - smoked first whole cigarette,,,,,,,Health behaviour,,Smoking,,Continuous,,years,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[SMK_21],,,,,,,,
SMK_23,,Intermediate,,Number days/month smoked at least 1 cigarette,,,,,Number days/typical month smoked at least 1 cigarette,,,,,,,Health behaviour,,Smoking,,Continuous,,days/month,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[SMK_23],,,,,,,,
SMK_31,,Intermediate,,Number of cigarettes per day (daily smoker),,,,,Number of cigarettes smoked per day (daily smoker),,,,,,,Health behaviour,,Smoking,,Continuous,,cigarettes/day,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[SMK_31],,,,,,,,
SMK_41,,Intermediate,,Number of cigarettes per day (occassional smoker),,,,,Number of cigarettes smoked per day (occassional smoker),,,,,,,Health behaviour,,Smoking,,Continuous,,cigarettes/day,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[SMK_41],,,,,,,,
SMK_52,,Intermediate,,Age started smoking daily,,,,,Age started smoking daily,,,,,,,Health behaviour,,Smoking,,Continuous,,years,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[SMK_52],,,,,,,,
SMK_53,,Intermediate,,Number of cigarettes per day (former daily smoker),,,,,Number of cigarettes smoked per day (former daily smoker),,,,,,,Health behaviour,,Smoking,,Continuous,,cigarettes/day,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[SMK_53],,,,,,,,
SMKDSTP,,Intermediate,,Years stopped smoking,,,,,Number of years since stopping smoking completely - (D),,,,,,,Health behaviour,,Smoking,,Continuous,,years,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[SMKDSTP],,,,,,,,
SMKDSTY,,Predictor,,Smoking frequency,,,,,Type of smoker - (D),,,,,,,Health behaviour,,Smoking,,Categorical,,N/A,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[SMKDSTY],,,,,,,,
THI_01,,Predictor,,Household income,,,,,Household income - amount,,,,,,,Sociodemographics,,Income,,Continuous,,$,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"cycle1::INC_21, cycle2::INC_21, cycle5::INC_HHLD, [THI_01]",,,,,,,,
THIFIMP4,,,,Household income imputation flag,,,,,Total household income imputation flag - (F),,,,,,,Sociodemographics,,Income,,Categorical,,N/A,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"cycle1::INCFIMP4, cycle2::INCFIMP4, cycle5::INCFHHLD, [THIFIMP4]",,,,,,,,
TotalFV,,Predictor,,Daily fruit and vegetable consumption,,,,,Daily fruit and vegetable consumption,,,,,,,Health behaviour,,Diet,,Continuous,,times/day,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle5",,,,,"DerivedVar::[WSDD14Y, GFVD17Y, GFVD18Y, GFVD19Y, GFVD20Y, GFVD22Y, GFVD23Y]; DerivedVar::[WSSD34Y, WSSD35Y, GFVD17AY, GFVD17BY, GFVD17CY, GFVD17DY, GFVD18Y, GFVD19Y, GFVD20Y, GFVD22Y, GFVD23Y]		",,,,,,,,
WSDD14Y,,Intermediate,,Fruit juice consumption in year,,,,,Drinks fruit juices - times per year - (D),,,,,,,Health behaviour,,Diet,,Continuous,,times/year,,"cycle1, cycle2",,,,,[WSDD14Y],,,,,,,,
WSDD34Y,,Intermediate,,Orange or grapefruit juice consumption in year,,,,,	Drinks orange or grapefruit juice - times per year - (D),,,,,,,Health behaviour,,Diet,,Continuous,,times/year,,"cycle3, cycle4, cycle5, cycle6",,,,,[WSDD34Y],,,,,,,,
WSDD35Y,,Intermediate,,Other fruit juice consumption in year,,,,,Drinks other 100% fruit juices - times per year - (D),,,,,,,Health behaviour,,Diet,,Continuous,,times/year,,"cycle3, cycle4, cycle5, cycle6",,,,,[WSDD35Y],,,,,,,,
